Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas,Nombre
Santa Cruz,1435,500,150,"50.24°S, 72.64°W",Lago Argentino
Santa Cruz,1166,Desconocido,Desconocido,"49.62°S, 72.49°W",Lago Viedma
Río Negro / Neuquén,540,464,157,"40.85°S, 71.61°W",Lago Nahuel Huapi
Chubut,427,39,20,"45.41°S, 69.19°W",Lago Musters
Santa Cruz,358,Desconocido,49,"48.91°S, 71.21°W",Lago Cardiel
Buenos Aires,156,11,7,"37.12°S, 62.86°W",Lago Epecuén
Río Negro,116,Desconocido,Desconocido,"38.70°S, 67.97°W",Lago Pellegrini
Santa Cruz,100,Desconocido,Desconocido,"48.43°S, 71.19°W",Lago Strobel
Chubut,84,Desconocido,79,"44.92°S, 71.49°W",Lago Fontana
Neuquén,84,Desconocido,142,"39.77°S, 71.50°W",Lago Huechulafquen
Neuquén,78,Desconocido,Desconocido,"40.63°S, 71.41°W",Lago Traful
Chubut,73,Desconocido,Desconocido,"44.85°S, 71.82°W",Lago La Plata
Santa Cruz,65,Desconocido,Desconocido,"47.28°S, 71.53°W",Lago Ghío
Chubut,58,287,149,"42.69°S, 71.86°W",Lago Menéndez
Neuquén,58,165,64,"38.92°S, 71.12°W",Lago Aluminé
Neuquén,53,277,166,"40.16°S, 71.43°W",Lago Lácar
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,Desconocido,43,"54.41°S, 67.71°W",Lago Yehuin
Santa Cruz,47,Desconocido,Desconocido,"48.41°S, 71.55°W",Lago Quiroga
Chubut,47,180,111,"42.15°S, 71.64°W",Lago Puelo
Santa Cruz,42,Desconocido,Desconocido,"47.97°S, 72.35°W",Lago Nansen
Santa Cruz,42,Desconocido,Desconocido,"47.84°S, 72.14°W",Lago Belgrano
Chubut,42,168,101,"42.82°S, 71.67°W",Lago Futalaufquen
Santa Cruz,41,Desconocido,31,"47.49°S, 71.83°W",Lago Posadas
Neuquén,40,Desconocido,Desconocido,"40.67°S, 71.71°W",Lago Espejo
Río Negro,39,218,111,"41.34°S, 71.54°W",Lago Mascardi
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,Desconocido,Desconocido,"54.39°S, 67.59°W",Lago Chepelmut
Santa Cruz,37,Desconocido,Desconocido,"47.5°S, 71.61°W",Lago Salitroso o Sucio
Neuquén,37,Desconocido,Desconocido,"40.03°S, 71.53°W",Lago Lolog
Santa Cruz,30,Desconocido,Desconocido,"49.22°S, 72.01°W",Lago Tar
Neuquén,29,Desconocido,69,"39.52°S, 71.44°W",Lago Tromen
Chubut,28,Desconocido,Desconocido,"45.88°S, 71.22°W",Lago Blanco
Neuquén,26,Desconocido,Desconocido,"39.41°S, 71.31°W",Lago Quillén
Santa Cruz,23,Desconocido,Desconocido,"47.86°S, 71.47°W",Lago Asador o Guitarra
Chubut,23,147,104,"42.61°S, 71.66°W",Lago Rivadavia
Neuquén,21,Desconocido,Desconocido,"38.90°S, 71.27°W",Lago Moquehue
Neuquén,20,Desconocido,Desconocido,"40.70°S, 71.65°W",Lago Correntoso
Chubut,20,Desconocido,Desconocido,"45.59°S, 68.54°W",Lago Río Chico
Santa Cruz,20,Desconocido,Desconocido,"48.49°S, 71.58°W",Lago Quiroga Chico
Chubut,17,148,92,"42.18°S, 71.50°W",Lago Epuyén
Río Negro,17,111,80,"41.20°S, 71.42°W",Lago Gutiérrez
Chubut,17,108,49,"42.45°S, 71.66°W",Lago Cholila
Neuquén,16,Desconocido,66,"39.72°S, 71.58°W",Lago Paimún
Santa Cruz,16,Desconocido,Desconocido,"47.84°S, 72.27°W",Lago Azara
Santa Cruz,14,Desconocido,Desconocido,"47.95°S, 72.20°W",Lago Burmeister
Santa Cruz,14,Desconocido,Desconocido,"50.10°S, 73.34°W",Lago Onelli
Neuquén,14,Desconocido,Desconocido,"40.33°S, 71.31°W",Lago Meliquina
Río Negro,12,Desconocido,Desconocido,"41.06°S, 71.54°W",Lago Perito Moreno
Neuquén,12,Desconocido,Desconocido,"39.84°S, 71.50°W",Lago Currhué
Neuquén,11,Desconocido,Desconocido,"40.48°S, 71.47°W",Lago Falkner
Chubut,10,Desconocido,Desconocido,"44.24°S, 71.50°W",Lago Pico Nº 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,Desconocido,Desconocido,"54.68°S, 65.80°W",Lago Río Bueno
Chubut,10,57,25,"43.26°S, 71.34°W",Lago Rosario
Santa Cruz,843,Desconocido,Desconocido,"46.43°S, 71.71°W",Lago Buenos Aires
Santa Cruz,537,Desconocido,Desconocido,"48.89°S, 72.69°W",Lago San Martín
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,Desconocido,81,"54.56°S, 67.88°W",Lago Fagnano
Santa Cruz,125,Desconocido,Desconocido,"47.35°S, 71.93°W",Lago Pueyrredón
Chubut,96,Desconocido,Desconocido,"43.93°S, 71.53°W",Lago General Vintter
